1056,62,790,60,880,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,54,60,52,90,33,150,26,500,-16,600,-16,800,0,-16,62,62
1057,62,790,60,880,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,58,60,57,90,37,150,30,500,-16,600,-16,800,0,-16,62,62
1059,62,790,60,880,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,62,60,60,90,41,150,34,500,-16,600,-16,800,0,-16,62,62
1061,62,754,60,1006,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,62,90,43,150,36,500,-16,600,-16,800,0,-16,62,62
1064,62,718,60,1132,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,61,90,44,150,37,500,-16,600,-16,800,0,-16,62,62
1066,62,682,60,1258,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,60,90,44,150,37,500,-16,600,-16,800,0,-16,62,62
1069,62,646,60,1384,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,58,90,44,150,38,500,-16,600,-16,800,0,-16,62,62
1071,62,610,60,1510,90,2500,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,63,60,56,90,45,150,39,500,-16,600,-16,800,0,-16,62,62
1074,62,544,60,1689,90,2518,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,54,90,46,150,40,500,-16,600,-16,800,0,-16,62,62
1077,62,490,60,1835,90,2534,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,53,90,47,150,41,500,-16,600,-16,800,0,-16,62,62
1080,62,448,60,1949,90,2546,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,52,90,48,150,42,500,-16,600,-16,800,0,-16,62,62
1078,62,396,60,1932,90,2512,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,64,60,50,90,47,150,41,500,-16,600,-16,800,0,-16,62,62
1077,62,346,60,1833,90,2452,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,63,60,49,90,46,150,38,500,-16,600,-16,800,0,-16,62,62
1076,62,303,60,1636,90,2367,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,16,10,0,0,61,60,47,90,44,150,34,500,-16,600,-16,800,0,-16,62,62
1075,62,250,60,1390,90,2260,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,62,10,0,0,60,60,46,90,42,150,28,500,-16,600,-16,800,0,-16,62,62
1074,62,235,60,1232,90,2200,150,3250,200,3700,200,4990,500,270,100,270,100,0,30,62,10,0,0,59,60,45,90,40,150,17,500,-16,600,-16,800,0,-16,62,62
